Nseries	Time	Timestd	Acc	Accstd	F1	F1std	F1LO	F1LOstd
1	12.521525359153747	2.6098909856111043	96.0	0.0	0.30434782608695654	0.0	0.30434782608695654	0.0
2	122.89684879779816	10.659972419019578	60.0	0.0	0.4	0.0	0.3138505597500651	0.009502733663108553
3	35.768157386779784	2.867683049855958	131.0	0.0	0.31413612565445026	0.0	0.3801054266776434	0.02372011260408972
4	72.92064912319184	2.969812663119697	99.0	0.0	0.36129032258064514	0.0	0.35530122522101404	0.03783939852177165
5	233.20705103874207	4.901303481928146	61.0	0.0	0.4077669902912621	0.0	0.3634742292285654	0.06022332130196284
6	142.17568597793579	6.016038107318928	74.0	0.0	0.38333333333333336	0.0	0.40312715722693293	0.016932535023871938
7	379.1576627731323	45.21522847082814	66.0	0.0	0.4107142857142857	0.0	0.40878251082909245	0.032233039206608124
8	416.6666966676712	7.518053724537904	65.0	0.0	0.4036697247706423	5.551115123125783e-17	0.38251544432020834	0.04758538039942604
9	287.6712879657745	5.629340158619922	63.0	0.0	0.41121495327102797	5.551115123125783e-17	0.40524236330736424	0.023831870290734417
10	262.7888987541199	7.449262272724063	65.0	0.0	0.4036697247706423	5.551115123125783e-17	0.3980347787575275	0.017094672845396425
