Nseries	Time	Timestd	Acc	Accstd	F1	F1std	F1LO	F1LOstd
65	48.4826575756073	6.014491416784532	52.0	0.0	0.44680851063829785	0.0	0.4464390424039867	0.00685824938861289
66	36.62467565536499	1.631987307979419	52.0	0.0	0.44680851063829785	0.0	0.4487808539693957	0.005287960603322958
67	34.83688747882843	1.7470638143262143	52.0	0.0	0.44680851063829785	0.0	0.44974270820735995	0.0053605104185341255
68	41.26836266517639	6.926907062499027	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.44643828875269953	0.010161431677571935
69	48.70610337257385	6.375228901059512	52.0	0.0	0.44680851063829785	0.0	0.4473708836859055	0.006251900825920339
70	45.637674832344054	9.95366148846603	52.0	0.0	0.44680851063829785	0.0	0.4445074731941907	0.005327784287659854
71	42.99797999858856	2.1463341291095857	52.0	0.0	0.44680851063829785	0.0	0.4405363346301153	0.006737755205776968
72	45.316536688804625	1.6569060034571061	52.0	0.0	0.44680851063829785	0.0	0.44593836038127305	0.005920113036443792
73	42.08550314903259	2.099551223987907	52.0	0.0	0.44680851063829785	0.0	0.44635841491167855	0.0033241559112707274
74	37.3751273393631	1.5124551128838382	54.0	0.0	0.4375	0.0	0.4417035404697736	0.005289059361588839
75	34.87249491214752	1.6995584929224408	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.43710536004960854	0.005128918535188288
76	11.435051822662354	0.7932248741332899	73.0	0.0	0.41600000000000004	5.551115123125783e-17	0.4407824878381946	0.005534210445298104
77	36.992472648620605	1.2059705187996195	55.0	0.0	0.43298969072164956	5.551115123125783e-17	0.43487940767485667	0.01680496566968068
78	41.40156610012055	1.5308074895598685	55.0	0.0	0.43298969072164956	5.551115123125783e-17	0.4389198635434825	0.004608152665170399
79	44.585482883453366	1.169500977319986	54.0	0.0	0.4375	0.0	0.43894719875123006	0.005712281838542236
80	49.65513446331024	6.65399512360413	54.0	0.0	0.4375	0.0	0.4404327668863305	0.008823101458639354
81	40.74950807094574	1.2784915994221742	54.0	0.0	0.4375	0.0	0.43928051511758115	0.007604855281714446
82	41.16488425731659	3.105758700012489	54.0	0.0	0.4375	0.0	0.44356586172018925	0.005170332462273346
83	44.28586554527283	2.214767770760461	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.4383888708169181	0.008322207192463968
84	45.0588223695755	2.204486956355046	54.0	0.0	0.4375	0.0	0.44307748641682315	0.008863633773778202
85	48.2817480802536	3.0170531594394143	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.4400269118231406	0.006548511140091468
86	44.615607142448425	1.6131785168865584	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.4433397569360086	0.00840905104254334
87	49.12808561325073	2.700537969181921	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.4416842466495683	0.004422408874515053
88	50.18372235298157	3.136727755259931	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.4402904256072054	0.009894036793036085
89	49.36429278850555	2.4661487665867305	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.44004262140361056	0.006312583720814557
90	62.59434158802033	3.197112160303681	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.443536150344977	0.003679271133209618
91	51.67954299449921	3.0425687271526116	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.4437375525292297	0.005442236276968599
92	55.805162620544436	2.1049036488099477	52.0	0.0	0.44680851063829785	0.0	0.44328978976267025	0.006948749474825248
93	45.60071122646332	1.7379452907508608	52.0	0.0	0.44680851063829785	0.0	0.4320014565785416	0.02494245671458698
94	45.33560247421265	1.0501843000482312	52.0	0.0	0.44680851063829785	0.0	0.4492312657744746	0.003874256995132062
95	14.525713324546814	0.6278028244076765	78.0	0.0	0.417910447761194	0.0	0.4501924741129778	0.0037871901444997743
96	62.387905025482176	1.9837998371915089	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.4478405342943165	0.005958999140057451
97	57.130214715003966	2.413747733360913	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.45388665227524105	0.006785191113540831
98	55.04661231040954	3.194271992986537	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.4482599429252609	0.003055858841065114
99	59.969915580749515	2.2732984822195745	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.4460220020710664	0.008593666065698165
100	66.18938944339752	1.677976549936134	52.0	0.0	0.44680851063829785	0.0	0.44594785576922746	0.006248402279369039
